command: ffmpeg -i /home/robert/Videos/bad.mkv -vf "scale=96:48" -f image2pipe -pix_fmt rgb24 -vcodec rawvideo -
current fps: 0.00 average: 0.00                     115789 function calls (112244 primitive calls) in 1.627 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       38    0.000    0.000    0.000    0.000 {numpy.core.multiarray.array}
       59    0.000    0.000    0.049    0.001 re.py:192(compile)
        1    0.000    0.000    0.001    0.001 __init__.py:265(_reset_cache)
        1    0.000    0.000    0.006    0.006 polynomial.py:4(<module>)
        1    0.000    0.000    0.006    0.006 shader_subroutine.py:18(<module>)
        1    0.000    0.000    0.087    0.087 type_check.py:3(<module>)
        1    0.000    0.000    0.198    0.198 {imp.load_module}
        1    0.000    0.000    0.000    0.000 Snake.py:27(SnakeControllerLogiTech)
       37    0.000    0.000    0.001    0.000 sre_compile.py:428(_simple)
        1    0.000    0.000    0.001    0.001 Snake.py:1(<module>)
        1    0.000    0.000    0.004    0.004 ES2_compatibility.py:15(<module>)
       43    0.000    0.000    0.001    0.000 _weakrefset.py:58(__iter__)
        1    0.000    0.000    0.000    0.000 _import_tools.py:341(PackageLoaderDebug)
      159    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
      175    0.000    0.000    0.000    0.000 rq.py:113(__init__)
        1    0.000    0.000    0.005    0.005 program_interface_query.py:1(<module>)
       60    0.000    0.000    0.001    0.000 rq.py:343(__init__)
        1    0.000    0.000    0.006    0.006 vertex_attrib_64bit.py:52(<module>)
        1    0.000    0.000    0.004    0.004 sync.py:31(<module>)
        1    0.000    0.000    0.004    0.004 GL_4_4.py:1(<module>)
      154    0.000    0.000    0.000    0.000 {_sre.getlower}
       46    0.000    0.000    0.007    0.000 GL_4_0.py:12(_f)
        1    0.000    0.000    0.002    0.002 extras.py:10(<module>)
        1    0.000    0.000    0.003    0.003 get_program_binary.py:32(<module>)
        1    0.000    0.000    0.005    0.005 shader_image_load_store.py:1(<module>)
       25    0.000    0.000    0.021    0.001 sre_compile.py:552(_code)
        1    0.000    0.000    0.004    0.004 tessellation_shader.py:78(<module>)
        1    0.000    0.000    0.003    0.003 GL_2_1.py:1(<module>)
        6    0.000    0.000    0.001    0.000 rq.py:683(__init__)
        1    0.000    0.000    0.001    0.001 main.py:1(<module>)
        1    0.000    0.000    0.000    0.000 numeric.py:2865(__init__)
       20    0.000    0.000    0.001    0.000 posixpath.py:120(dirname)
        1    0.000    0.000    0.003    0.003 texture_multisample.py:24(<module>)
        1    0.000    0.000    0.003    0.003 invalidate_subdata.py:54(<module>)
       47    0.000    0.000    0.005    0.000 GL_1_4.py:12(_f)
       27    0.000    0.000    0.001    0.000 core.py:860(__init__)
        1    0.000    0.000    0.003    0.003 draw_elements_base_vertex.py:66(<module>)
        1    0.000    0.000    0.003    0.003 utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 RainPattern.py:3(<module>)
       37    0.000    0.000    0.001    0.000 sre_parse.py:268(_escape)
        1    0.000    0.000    0.000    0.000 GraphicsTests.py:1(<module>)
    89/61    0.000    0.000    0.003    0.000 {issubclass}
      132    0.000    0.000    0.000    0.000 rq.py:144(__init__)
        9    0.000    0.000    0.001    0.000 glx.py:98(getGLUTFontPointer)
        1    0.000    0.000    0.000    0.000 defchararray.py:1669(chararray)
        1    0.000    0.000    0.003    0.003 tessellation_shader.py:1(<module>)
        1    0.000    0.000    0.001    0.001 serialutil.py:10(<module>)
        1    0.000    0.000    0.003    0.003 viewport_array.py:1(<module>)
